Charachteristic,UNIT,Instruction / Comments,Supplier Answers,COMMENT
Full polycarbonate safety screens for operator protection,-------------,Requested - Confirm?,no; mesh fences with adequate distance to all safety areas,NOK
Pallets transferences at all pallet conveyors corners,-------------,Requested transferences at 90º without using turntables - Confirm?,"empty can area no turntables, only at discharge of pallet-, topframe- & interlayer stack discharge",NOK
Have all safety aspects detailled in the GTS-GEN-SFT-GSP-006 been attended?,-------------,General Safety Specification for Packaging Lines. Requested - Confirm?,machine safety acc. CE,Not enough information
