Charachteristic,UNIT,Instruction / Comments,Supplier Answers,COMMENT
Average consumption (nominal),(Nm3/h),Inform,10,Not enough information
Maximum instant consumption,(Nm3/h),Inform,12,Not enough information
Electrical capacity to be installed,(kVA),Inform,22,Not enough information
Maximum consumption,(kW),Inform,15,Not enough information
Average consumption,(kW),Inform,10,Not enough information
