Charachteristic,Instruction/Comments,Supplier Answers,COMMENT
Fixation starswheels devices,-------------,KHS: no tools for changeover necessary,Not enough information
Machine changeover using SMED techniques (Single Minute Exchange of Dies),,KHS: OK,OK
Manual/ auto/ memory adjustment for dome height,-------------,KHS; auto,Not enough information
Motor for Seamer height regulation,-------------,KHS: OK,OK
