Charachteristic,Instruction/Comments,Supplier Answers,COMMENT
Proposed equipment model,Inform,KHS: Innofil Can DVD 184,Not enough information
Manufacturer,Inform,KHS: KHS GmbH,Not enough information
Country / City of manufacture,Inform,KHS: Germany,Not enough information
Delivery time (CIF),Inform,KHS : pls refer to overall proj schedule,Not enough information
Assembly time,Inform,KHS : pls refer to overall proj schedule,Not enough information
Training sections time (operational / maintenance),Inform,KHS : pls refer to overall proj schedule,Not enough information
How many days for start-up after assembly begining?,Inform,KHS : pls refer to overall proj schedule,Not enough information
Period to reach contracted performance,Inform,KHS : pls refer to overall proj schedule,Not enough information
How mature are the proposed machines model?,More than 5 equipment sold and operational? Inform.,more than 20 with 184 filling heads,OK
