Charachteristic,Instruction/Comments,Supplier Answers,COMMENT
"Install CO2 flushing system at the entry of the cans, covering an extension of 2.5 valves",-------------,"KHS: CO2, designed after KHS design requirements",Not enough information
"Install a system of CO2 emission (inert atmosphere), covering 12.5% ​​of the total number of filler valves.",-------------,"KHS: can relief, designed after KHS design requirements",Not enough information
CO2 purity at filler shall meet or exceed 99.9%,-------------,KHS: CO2 quality from costumer,NOK
